Eruption Number,Volcano Name,Eruption Category,VEI,Start Year,Start Month,Start Day,End Year,End Month,End Day,Evidence Type,Evidence Method
12139,Villarrica,Confirmed,2.0,1906,4.0,22.0,1906.0,12.0,,Observations,Reported
18312,Myojinsho,Confirmed,1.0,1906,4.0,7.0,1906.0,4.0,14.0,Observations,Reported
17768,Asamayama,Confirmed,2.0,1906,4.0,6.0,1906.0,4.0,6.0,Observations,Reported
14616,Ruapehu,Confirmed,2.0,1906,3.0,15.0,,,,Observations,Reported
19856,Bogoslof,Confirmed,3.0,1906,3.0,1.0,1907.0,9.0,1.0,Observations,Reported
13569,Tongariro,Confirmed,2.0,1906,3.0,,,,,Observations,Reported
14511,Okataina,Confirmed,1.0,1906,2.0,21.0,1906.0,2.0,21.0,Observations,Reported
15893,Merapi,Confirmed,2.0,1906,1.0,26.0,1907.0,2.0,17.0,Observations,Reported
11022,Masaya,Confirmed,2.0,1906,1.0,2.0,1906.0,1.0,9.0,Observations,Reported
14748,Tofua,Confirmed,2.0,1906,1.0,,1906.0,2.0,,Observations,Reported
14048,Nyamulagira,Uncertain,1.0,1906,,,,,,Uncertain,Unspecified
14095,Nyiragongo,Confirmed,1.0,1906,,,,,,Observations,Reported
20125,Pavlof,Confirmed,3.0,1906,,,1911.0,12.0,7.0,Observations,Reported
17633,Nemo Peak,Confirmed,2.0,1906,,,,,,Observations,Reported
18500,Asuncion,Confirmed,2.0,1906,,,,,,Observations,Reported
11329,Purace,Confirmed,2.0,1906,,,,,,Observations,Reported
12254,Calbuco,Confirmed,2.0,1906,,,,,,Observations,Reported
12268,Huequi,Confirmed,2.0,1906,,,1907.0,,,Observations,Reported
11952,"Azul, Cerro",Confirmed,2.0,1906,,,,,,Observations,Reported
16729,Kanlaon,Confirmed,2.0,1905,11.0,6.0,1906.0,1.0,16.0,Observations,Reported
15440,Marapi,Confirmed,2.0,1905,11.0,1.0,,,,Observations,Reported
16257,Inielika,Confirmed,2.0,1905,11.0,,1905.0,11.0,,Observations,Reported
11911,Maipo,Confirmed,2.0,1905,10.0,28.0,1905.0,10.0,30.0,Observations,Reported
17829,Kusatsu-Shiranesan,Confirmed,2.0,1905,10.0,,1905.0,10.0,,Observations,Reported
18569,Hokkaido-Komagatake,Confirmed,2.0,1905,8.0,19.0,1905.0,9.0,1.0,Observations,Reported
13575,Semeru,Confirmed,2.0,1905,8.0,4.0,,,,Observations,Reported
14816,Savaii,Confirmed,2.0,1905,8.0,4.0,1911.0,11.0,,Observations,Reported
14047,Nyamulagira,Confirmed,2.0,1905,7.0,22.0,1905.0,9.0,25.0,Observations,Reported
14510,Okataina,Confirmed,1.0,1905,6.0,17.0,1905.0,6.0,17.0,Observations,Reported
16504,Karangetang,Confirmed,2.0,1905,5.0,21.0,1905.0,5.0,22.0,Observations,Reported
10074,Kilauea,Confirmed,0.0,1905,2.0,22.0,1906.0,4.0,,Observations,Reported
14509,Okataina,Confirmed,1.0,1905,2.0,18.0,1905.0,2.0,23.0,Observations,Reported
14312,"Fournaise, Piton de la",Confirmed,2.0,1905,2.0,15.0,1905.0,2.0,16.0,Observations,Reported
11002,Momotombo,Confirmed,2.0,1905,1.0,16.0,1905.0,1.0,21.0,Observations,Reported
15892,Merapi,Confirmed,2.0,1905,1.0,,1905.0,6.0,1.0,Observations,Reported
10373,Socorro,Uncertain,2.0,1905,1.0,,,,,Uncertain,Unspecified
17985,Zaozan [Zaosan],Confirmed,1.0,1905,,,,,,Observations,Reported
